"time","ab"
2015-06-13,20283.5756394809
2015-06-14,20383.3856036291
2015-06-15,20484.8691360747
2015-06-16,20588.3038069271
2015-06-17,20694.0129662932
2015-06-18,20802.3542615262
2015-06-19,20913.7083101252
2015-06-20,21028.4679113126
2015-06-21,21147.0281196205
2015-06-22,21269.7774374421
2015-06-23,21397.0903143194
2015-06-24,21529.3210720079
2015-06-25,21666.7993086307
2015-06-26,21809.8267744127
2015-06-27,21958.675656855
2015-06-28,22113.5881655987
2015-06-29,22274.777267109
2015-06-30,22442.4283869241
2015-07-01,22616.7018726796
2015-07-02,22797.7359944932
2015-07-03,22985.6502506161
2015-07-04,23180.5487455279
2015-07-05,23382.5234148392
2015-07-06,23591.6568863238
2015-07-07,23808.0247888096
2015-07-08,24031.6973499875
2015-07-09,24262.7401595984
2015-07-10,24501.2140148041
2015-07-11,24747.1738083483
2015-07-12,25000.6664656252
2015-07-13,25261.7279820271
2015-07-14,25530.3796548509
2015-07-15,25806.623642567
2015-07-16,26090.4380165099
2015-07-17,26381.7714944657
2015-07-18,26680.5380611008
2015-07-19,26986.6116860878
2015-07-20,27299.8213471597
2015-07-21,27619.9465527005
2015-07-22,27946.7135379859
2015-07-23,28279.7922823199
2015-07-24,28618.7944628859
2015-07-25,28963.2724271014
2015-07-26,29312.7192305392
2015-07-27,29666.5697538433
2015-07-28,30024.2028809926
2015-07-29,30384.9446938826
2015-07-30,30748.0726152219
2015-07-31,31112.8204134877
2015-08-01,31478.3839700843
2015-08-02,31843.9276995183
2015-08-03,32208.5915077177
2015-08-04,32571.4981708088
2015-08-05,32931.761015883
2015-08-06,33288.4917857535
2015-08-07,33640.8085707041
2015-08-08,33987.843691269
2015-08-09,34328.7514168305
2015-08-10,34662.715405243
2015-08-11,34988.9557489576
2015-08-12,35306.7355136776
2015-08-13,35615.3666570454
2015-08-14,35914.2152180197
2015-08-15,36202.7056732989
2015-08-16,36480.3243662104
2015-08-17,36746.6219266168
2015-08-18,37001.2146180851
2015-08-19,37243.7845709804
2015-08-20,37474.0788870617
2015-08-21,37691.9076318931
2015-08-22,37897.1407648087
2015-08-23,38089.7040907384
2015-08-24,38269.5743520288
2015-08-25,38436.7736093907
2015-08-26,38591.3630871719
2015-08-27,38733.4366773223
2015-08-28,38863.1143070954
2015-08-29,38980.5353766322
2015-08-30,39085.8524636695
2015-08-31,39179.2254739817
2015-09-01,39260.8163888126
2015-09-02,39330.7847261022
2015-09-03,39389.2837929294
2015-09-04,39436.4577647245
2015-09-05,39472.439585072
2015-09-06,39497.349640817
2015-09-07,39511.2951329636
2015-09-08,39514.3700363208
2015-09-09,39506.6555213228
2015-09-10,39488.2207006526
2015-09-11,39459.1235614066
2015-09-12,39419.4119501829
2015-09-13,39369.1244928568
2015-09-14,39308.2913517404
2015-09-15,39236.9347488698
2015-09-16,39155.0692137205
2015-09-17,39062.7015450077
2015-09-18,38959.8305077162
2015-09-19,38846.4463164477
2015-09-20,38722.5299830865
2015-09-21,38588.0526292795
2015-09-22,38442.9748811715
2015-09-23,38287.2464743214
2015-09-24,38120.8062001325
2015-09-25,37943.5823211703
2015-09-26,37755.4935714568
2015-09-27,37556.4508396292
2015-09-28,37346.3596085004
2015-09-29,37125.1231951394
2015-09-30,36892.6468025055
2015-10-01,36648.84235848
2015-10-02,36393.6340826061
2015-10-03,36126.9646866732
2015-10-04,35848.802084148
2015-10-05,35559.146456787
2015-10-06,35258.0375057405
2015-10-07,34945.5616998389
2015-10-08,34621.8593259336
2015-10-09,34287.1311450846
2015-10-10,33941.6444636084
2015-10-11,33585.7384387452
2015-10-12,33219.828453932
2015-10-13,32844.4094172
2015-10-14,32460.0578568031
2015-10-15,32067.4327096659
2015-10-16,31667.2747195906
2015-10-17,31260.4043825995
2015-10-18,30847.7183958466
2015-10-19,30430.1845840472
2015-10-20,30008.8352935896
2015-10-21,29584.7592599642
2015-10-22,29159.0919698072
2015-10-23,28733.0045558985
2015-10-24,28307.6912833454
2015-10-25,27884.3557095101
2015-10-26,27464.1956306414
2015-10-27,27048.3869661609
2015-10-28,26638.0667783394
2015-10-29,26234.315681289
2015-10-30,25838.1399585931
2015-10-31,25450.4537820336
2015-11-01,25072.0620018182
2015-11-02,24703.6440566251
2015-11-03,24345.7396228445
2015-11-04,23998.7366777237
2015-11-05,23662.8626801512
2015-11-06,23338.1795639764
2015-11-07,23024.5831807088
2015-11-08,22721.8077116797
2015-11-09,22429.4353886877
2015-11-10,22146.9116171788
2015-11-11,21873.5652954248
2015-11-12,21608.6337841974
2015-11-13,21351.291630241
2015-11-14,21100.681816664
2015-11-15,20855.9480412334
2015-11-16,20616.2663453019
2015-11-17,20380.8743608702
2015-11-18,20149.0965281419
2015-11-19,19920.3638619316
2015-11-20,19694.2271960446
2015-11-21,19470.363277816
2015-11-22,19248.5735761934
2015-11-23,19028.7761565384
2015-11-24,18810.991415953
